id;n3;n2;n4;n117;id_localisation
138;0060907D;Privé hors contrat;Ecole technique privée d'esthétique F Gontard;;453
139;0060914L;Public;I.U.T Nice-Côte d'Azur;;453
140;0061005K;Public;Centre de Ressources, d'Expertise et de Performance Sportive PACA - site d'Antibes (CREPS);;372
141;0061212K;Privé sous contrat d'association;Haute Ecole du Travail et de l'Intervention Sociale - HETIS Nice;;453
142;0061213L;Privé sous contrat d'association;IFSI Croix Rouge Française Nice;;453
143;0061292X;Public;IFSI CH de Cannes Simone Veil;;59
144;0061478Z;Public;Lycée Léonard De Vinci;;372
145;0061492P;Privé sous contrat d'association;IFSI Sainte Marie;;148
146;0061493R;Public;IFSI CHU Nice;;453
147;0061561P;Public;Lycée professionnel Alfred Hutinel;;59
148;0061642C;Public;Lycée International de Valbonne;;81
149;0061643D;Privé enseignement supérieur;IDRAC Business School - Campus de Nice;;453
150;0061690E;Privé enseignement supérieur;ESRA - Nice;;453
151;0061691F;Public;Lycée Mélinée & Missak Manouchian;;453
152;0061715G;Privé enseignement supérieur;IPAG Business School - Campus de Nice;;453
153;0061760F;Public;Lycée Alexis De Tocqueville;;389
154;0061763J;Public;Lycée Guillaume APOLLINAIRE;;453
155;0061770S;Privé enseignement supérieur;EDHEC Nice;;453
156;0061817T;Public;I.U.T de Nice - Antenne de Valbonne;;81
157;0061841U;Public;I.U.T de Nice - Antenne de Cannes;;59
158;0061887U;Public;I.U.T de Nice - Antenne de Menton;;484
159;0061899G;Public;IFSI CH La Palmosa de Menton;;484
160;0061987C;Public;Lycée de la Montagne;;310
161;0062015H;Public;Lycée Simone Veil;;81
162;0062019M;Public;Polytech Nice Sophia;;486
163;0062084H;Privé enseignement supérieur;EPITECH - Campus de Nice;;453
164;0062089N;Public;Lycée René Goscinny;;1088
165;0062104E;Privé enseignement supérieur;CESI Campus de Nice;;453
166;0062197F;Privé enseignement supérieur;Ecole d'ingénieurs privée ECAM EPMI;;389
167;0062205P;Public;Université Côte d'Azur;;453
168;0062271L;Public;Sciences Po - campus de Menton - Institut d'études politiques;;484
169;0062356D;Public;Ecole Centrale Méditerranée - Site de Nice;;453
170;0070001N;Public;Lycée Boissy D'Anglas;;774
171;0070003R;Public;Lycée Marcel Gimond;;674
172;0070004S;Public;Lycée Astier;;674
173;0070021K;Public;Lycée Vincent d'Indy;;447
174;0070029U;Public;Lycée Gabriel Faure;;476
175;0070031W;Public;Lycée professionnel Marius Bouvier;;476
176;0070064G;Privé sous contrat d'association;Lycée Jules Froment;;674
177;0070071P;Privé sous contrat d'association;Lycée polyvalent du Sacré-Coeur;;476
178;0070114L;Privé sous contrat d'association;Lycée professionnel Notre Dame;;447
179;0071125K;Public;Lycée agricole Olivier De Serres;;674
180;0071126L;Privé sous contrat d'association;Institut Supérieur Saint-Denis;;774
181;0071301B;Public;IFSI CH Ardèche Nord;;774
182;0071302C;Public;IFSI CH Ardèche Méridionale;;674
183;0071351F;Public;Lycée Xavier Mallet;;1139
