id;n10;n11;n12;n13;n14;n15;n16
2062;Licence - Portail Langues, littératures et civilisations étrangères et régionales - Licence LLCER Anglais (renforcé ou mineures);formation non sélective;Licence;Université Sorbonne Nouvelle Paris 3 - Licence - Portail Langues, littératures et civilisations étrangères et régionales - Licence LLCER Anglais (renforcé ou mineures);Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Licence 1 LLCER Anglais mineure Portugais
2063;Diplôme de Comptabilité et de Gestion;formation sélective;Autre formation;Lycée Mathias - Diplôme de Comptabilité et de Gestion;DCG;Diplôme de Comptabilité et de Gestion;
2064;Licence - Portail Droit - Droit - Martinique;formation non sélective;Licence;Université des Antilles - Pôle Martinique - Licence - Portail Droit - Droit - Martinique;Licence - Droit-économie-gestion;Droit;Droit - Martinique
2065;D.E Educateur Technique Spécialisé;formation sélective;EFTS;Inkipit - Campus de Toulouse - D.E Educateur Technique Spécialisé;D.E secteur social;D.E Educateur Technique Spécialisé;
2066;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;formation sélective;BTS;Lycée Hippolyte Fontaine - BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;BTS - Production;Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;
2067;Licence - Langues étrangères appliquées - Parcours Anglais/Russe;formation non sélective;Licence;Université de Caen Normandie - Licence - Langues étrangères appliquées - Parcours Anglais/Russe;Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais/Russe
2068;BUT - Information communication Parcours journalisme;formation sélective;BUT;I.U.T de Nice - Antenne de Cannes - BUT - Information communication Parcours journalisme;BUT - Service;Information communication Parcours journalisme;
2069;DN MADE - Objet - Spécialité Eco-conception : matériaux durables et innovants;formation sélective;Autre formation;Lycée Francois Magendie - DN MADE - Objet - Spécialité Eco-conception : matériaux durables et innovants;DN MADE;Objet;Spécialité Eco-conception : matériaux durables et innovants
2070;BUT - Techniques de commercialisation;formation sélective;BUT;I.U.T. de Bayonne - BUT - Techniques de commercialisation;BUT - Service;Techniques de commercialisation;
2071;BTS - Services - Commerce International;formation sélective;BTS;Lycée Les Droits De L'Homme - BTS - Services - Commerce International;BTS - Services;Commerce International;
2072;BTS - Services - Management opérationnel de la sécurité;formation sélective;BTS;Lycée Claude Monet - BTS - Services - Management opérationnel de la sécurité;BTS - Services;Management opérationnel de la sécurité;
2073;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée Joseph-Marie Carriat - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
2074;BTS - Services - Services et prestations des secteurs sanitaire et social;formation sélective;BTS;Lycée Sidoine Apollinaire - BTS - Services - Services et prestations des secteurs sanitaire et social;BTS - Services;Services et prestations des secteurs sanitaire et social;
2075;Licence - Chimie - Parcours Licence Chimie (Portail Sciences);formation non sélective;Licence;Université d'Amiens - Antenne de Beauvais - Licence - Chimie - Parcours Licence Chimie (Portail Sciences);Licence - Sciences - technologies - santé;Chimie;Licence Chimie (Portail Sciences)
2076;Licence - Portail Mathématiques Physique Chimie Sciences de l'Ingénieur;formation non sélective;Licence;Université de Lille - Licence - Portail Mathématiques Physique Chimie Sciences de l'Ingénieur;Licence - Sciences - technologies - santé;Mathématiques;Mathématiques Physique Chimie Sciences de l'Ingénieur
2077;Licence - Philosophie - Parcours Philosophie et sociologie;formation non sélective;Licence;Université Toulouse 2 Jean Jaurès - Licence - Philosophie - Parcours Philosophie et sociologie;Licence - Arts-lettres-langues;Philosophie;Philosophie et sociologie
2078;Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;formation sélective;Autre formation;Campus Sacré-Coeur La Salle  - Certificat de Spécialisation - Animation-gestion de projets dans le secteur sportif;Certificat de Spécialisation;Animation-gestion de projets dans le secteur sportif;
2079;BUT - Management de la Logistique et des Transports;formation sélective;BUT;I.U.T de Cergy-Pontoise - Site d'Argenteuil - BUT - Management de la Logistique et des Transports;BUT - Service;Management de la Logistique et des Transports;
2080;BUT - Gestion des entreprises et des administrations;formation sélective;BUT;I.U.T de Metz - Université de Lorraine - BUT - Gestion des entreprises et des administrations;BUT - Service;Gestion des entreprises et des administrations;
2081;Licence - Portail Géographie et aménagement;formation non sélective;Licence_Las;Université Angers - Licence - Portail Géographie et aménagement;Licence - Sciences humaines et sociales;Géographie et aménagement;
2082;BTS - Services - Gestion de la PME;formation sélective;BTS;Lycée de Borda - BTS - Services - Gestion de la PME;BTS - Services;Gestion de la PME;
2083;Licence - Lettres - Parcours Lettres, Cinéma, Théâtre, Danse;formation non sélective;Licence;Université de Pau et des pays de l'Adour - Collège SSH (Pau) - Licence - Lettres - Parcours Lettres, Cinéma, Théâtre, Danse;Licence - Arts-lettres-langues;Lettres;Lettres, Cinéma, Théâtre, Danse
2084;CPGE - Lettres;formation sélective;CPGE;Lycée Champollion - CPGE - Lettres;Classe préparatoire littéraire;Lettres;
2085;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;formation sélective;BTS;Lycée professionnel Savary - Ferry  - BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;BTS - Services;Métiers de l'esthétique-cosmétique-parfumerie;
2086;Certificat de Spécialisation - Technicien(ne) en soudage;formation sélective;Autre formation;Lycée Elisa LEMONNIER - Certificat de Spécialisation - Technicien(ne) en soudage;Certificat de Spécialisation;Technicien(ne) en soudage;
2087;Licence - Portail Mathématiques;formation non sélective;Licence_Las;Université de Caen Normandie - Licence - Portail Mathématiques;Licence - Sciences - technologies - santé;Mathématiques;
2088;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée Saint-Anselme - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
2089;BTS - Services - Comptabilité et gestion;formation sélective;BTS;Lycée Notre-Dame - BTS - Services - Comptabilité et gestion;BTS - Services;Comptabilité et gestion;
2090;Licence - Science politique - Parcours Droit ou Sciences politiques - Cycle Universitaire Préparatoire aux Grandes écoles (IEP) de province (L1) - CUPGE - Martinique;formation non sélective;Licence;Université des Antilles - Pôle Martinique - Licence - Science politique - Parcours Droit ou Sciences politiques - Cycle Universitaire Préparatoire aux Grandes écoles (IEP) de province (L1) - CUPGE - Martinique;Licence - Droit-économie-gestion;Science politique;Droit ou Sciences politiques - Cycle Universitaire Préparatoire aux Grandes écoles (IEP) de province (L1) - CUPGE - Martinique
2091;Double licence - Langues, littératures et civilisations étrangères et régionales / Langues, littératures et civilisations étrangères et régionales - Double Licence mention Langues, littératures et civilisations étrangères et régionales (LLCER) Anglais] - mention LLCER [Portugais];formation sélective;Licence;Université Paris Nanterre - Double licence - Langues, littératures et civilisations étrangères et régionales / Langues, littératures et civilisations étrangères et régionales - Double Licence mention Langues, littératures et civilisations étrangères et régionales (LLCER) Anglais] - mention LLCER [Portugais];Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Double Licence mention Langues, littératures et civilisations étrangères et régionales (LLCER) Anglais] - mention LLCER [Portugais]
2092;D.E Infirmier;formation sélective;IFSI;Regroupement IFSI Université de Bordeaux - D.E Infirmier;D.E secteur sanitaire;D.E Infirmier;
2093;BTS - Services - Economie sociale familiale;formation sélective;BTS;Lycée Campus de Coulommiers - BTS - Services - Economie sociale familiale;BTS - Services;Economie sociale familiale;
2094;BTS - Services - Banque;formation sélective;BTS;Lycée Saint-Ouen - BTS - Services - Banque;BTS - Services;Banque;
2095;BTS - Services - Banque;formation sélective;BTS;Lycée Issec Pigier - BTS - Services - Banque;BTS - Services;Banque;
2096;BTS - Production - Electrotechnique;formation sélective;BTS;LPO Louis De Foix - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
2098;BTS - Services - Banque;formation sélective;BTS;Lycée Sevigne - BTS - Services - Banque;BTS - Services;Banque;
2099;BTS - Services - Assurance;formation sélective;BTS;Lycée professionnel Les Huisselets - BTS - Services - Assurance;BTS - Services;Assurance;
2100;BTS - Agricole - Gestion forestière;formation sélective;BTS;L.E.G.T.A. Jean Monnet - BTS - Agricole - Gestion forestière;BTS - Agricole;Gestion forestière;
2101;Licence - Langues étrangères appliquées;formation non sélective;Licence;Université Lumière - Lyon 2 - Licence - Langues étrangères appliquées;Licence - Arts-lettres-langues;Langues étrangères appliquées;LEA Anglais Espagnol – Sciences du langage
2102;BTS - Production - Electrotechnique;formation sélective;BTS;Lycée professionnel Henri Becquerel - BTS - Production - Electrotechnique;BTS - Production;Electrotechnique;
2103;BUT - Génie industriel et maintenance;formation sélective;BUT;I.U.T de Roanne - BUT - Génie industriel et maintenance;BUT - Production;Génie industriel et maintenance;
2104;Licence - Double diplôme - Licence Economie et gestion - Franco-allemand;formation sélective;Licence;Université Savoie Mont Blanc - Annecy-le-Vieux - Licence - Double diplôme - Licence Economie et gestion - Franco-allemand;Licence - Droit-économie-gestion;Economie et gestion;Franco-allemand
2105;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Allemand;formation non sélective;Licence;Université de Lille - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Allemand;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Allemand
2106;Double licence - Economie et gestion / Géographie et aménagement - Double licence Economie-Géographie;formation sélective;Licence;Université Sorbonne Paris Nord - Double licence - Economie et gestion / Géographie et aménagement - Double licence Economie-Géographie;Licence - Droit-économie-gestion;Economie et gestion;Double licence Economie-Géographie
2107;Licence - Gestion - Parcours Business Management (dispensée partiellement en anglais);formation non sélective;Licence;Université Jean Moulin Lyon 3 - Licence - Gestion - Parcours Business Management (dispensée partiellement en anglais);Licence - Droit-économie-gestion;Gestion;Business Management (dispensée partiellement en anglais)
2108;BTS - Services - Biologie médicale;formation sélective;BTS;Lycée de la Venise Verte - BTS - Services - Biologie médicale;BTS - Services;Biologie médicale;
2109;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Etudes Coréennes;formation sélective;Licence;Université Paris Cité - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours LLCER Etudes Coréennes;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;LLCER Etudes Coréennes
2110;BTS - Services - Biologie médicale;formation sélective;BTS;Lycée Stéphane Hessel - BTS - Services - Biologie médicale;BTS - Services;Biologie médicale;
